qml_fajl	felirat	kategoria	indok	hivatalos_kulcs	hivatalos_en
Main.qml	This will create an album with more than 1000 images.	elteres	CSAK-FORDÍTÁS: az angol forrás tartalmilag azonos (csak tördelés/záró kérdés különbözik), de a magyar fordításunk eltér. Hivatalos magyar: „Ezzel a művelettel létrehoz egy több mint 1000 képből álló albumot. Folytatja?” — nálunk: „Ez több mint 1000 képet tartalmazó albumot hoz létre.  Folytatja?”.	CThumbUI::SaveSearchBig	This will create an album with more than 1000 images.  Do you want to continue?
Main.qml	This will remove all edits you have made to ALL of	elteres	CSAK-FORDÍTÁS: az angol forrás tartalmilag azonos (csak tördelés/záró kérdés különbözik), de a magyar fordításunk eltér. Hivatalos magyar: „Ezzel a művelettel eltávolít minden módosítást, amelyet az ÖSSZES kijelölt képre alkalmazott. Folytatja?” — nálunk: „Ezzel az ÖSSZES kijelölt képen eltávolít minden szerkesztést.”.	IDS_CONFIRMREVERT_MULTIPLE	This will remove all edits you have made to ALL of the selected pictures.  Do you want to continue?
Main.qml	This will remove all edits you have made to the	elteres	CSAK-FORDÍTÁS: az angol forrás tartalmilag azonos (csak tördelés/záró kérdés különbözik), de a magyar fordításunk eltér. Hivatalos magyar: „Ezzel a művelettel eltávolít minden módosítást, amelyet eddig az aktuális képre alkalmazott. Folytatja?” — nálunk: „Ezzel a jelenlegi képen eltávolít minden szerkesztést.”.	IDS_CONFIRMREVERT	This will remove all edits you have made to the current picture.  Do you want to continue?
Main.qml	Updating similarity database 	elteres	CSAK-FORDÍTÁS: az angol forrás tartalmilag azonos (csak tördelés/záró kérdés különbözik), de a magyar fordításunk eltér. Hivatalos magyar: „Hasonlósági adatbázis frissítése (legközelebb gyors lesz)” — nálunk: „A hasonlósági adatbázis épül (legközelebb gyors lesz)”.	CSimSearch::updating	Updating similarity database (will be fast next time)
Main.qml	WARNING! This will move all the faces back to the 	elteres	Ugyanaz a parancs (Arcok alaphelyzetbe állítása), de tartalmilag is eltér: nálunk a névcímkék érintetlenek, nincs webalbum-szinkron. Hivatalos magyar: „FIGYELMEZTETÉS! Ez a művelet TÖRLI az összes személyi albumot, és a Név nélküliek albumba helyezi át az arcokat. A művelet a szinkronizált webalbumokból is ELTÁVOLÍTHATJA a névcímkéket. Ezt szeretné tenni?” — nálunk: „FIGYELMEZTETÉS! Ez a művelet minden arcot visszahelyez a Névtelenek albumba, és törli az arc-csoportokat. A fotókba írt névcímkékhez NEM nyúl. Ezt szeretné tenni?”.	CThumbUI::ResetAllFaces	WARNING! This will DELETE all people albums, and move all the faces to the unnamed album. This can REMOVE name tags on synced web albums also. Do you want to do this?
Main.qml	Wrong password	segedszoveg	A rejtett mappak feloldasi hibajanak dialogus-cime; a CThumbUI::PassVerifyWrong ('The passwords did not match.') MAS helyzetre vonatkozik (jelszo ketszeri beirasanak eltereser jelszo-BEALLITASNAL), nem a mar tarolt jelszo elleni ELLENORZESRE feloldaskor - a helyzet nem egyezik biztosan.		
Main.qml	You are about to erase all geographic location information	mero-vakfolt	A magyar szövegünk betűre egyezik a ClearGeoTag::warn hivatalos magyarjával; az angol csak az összefűzés miatt tűnt eltérőnek.	ClearGeoTag::warn	You are about to erase all geographic location information (i.e., latitude and longitude) from the selected photos.\n\nOK to proceed?
Main.qml	You have more than a few items selected.	mero-vakfolt	A magyar szövegünk betűre egyezik a GeoPanel::geotag_warning_change hivatalos magyarjával, csak a helyőrző szintaxisa (%d → %1) más.	GeoPanel::geotag_warning_change	You have more than a few items selected.\n\nAre you sure you want to change the location of all %d items?
PicasaPy/AboutDialog.qml	A modern, open Picasa successor.	segedszoveg	Sajat termek-tagline a Nevjegy dialogusban ('a mi sajat sugo-/magyarazo szovegunk'); nincs eredeti megfelelo, mert ez kifejezetten a mi forkunk leirasa.		
PicasaPy/AboutDialog.qml	About PicasaPy	elteres	SZÁNDÉKOS: a program neve PicasaPy, ezért „A PicasaPy névjegye” — a hivatalos szerkezet („A Picasa névjegye”) szerint, csak a terméknév más. Ugyanaz az ablakcím; a különbség csak a terméknév (kódkomment nem mondja ki szándékként). Hivatalos: „A Picasa névjegye” → nálunk: „A PicasaPy névjegye”.	about/window1.title	About Picasa (angol forrás nincs a korpuszban, a menütétel „&About Picasa” alapján)
PicasaPy/ActivityBadge.qml	Stop the background operation	segedszoveg	Tooltip a jobb-felső háttérművelet-jelző megszakítás-gombján; a ui-leltar.csv activity/activitybutton eleme üres buborék-mezővel szerepel, az eredetihez ehhez a gombhoz nincs rögzített szöveg — saját kiegészítés.		
PicasaPy/AddCustomAspectRatioDialog.qml	Width:	segedszoveg	Az Egyéni méretarány párbeszéd megvan, de az eredetiben egy „Méretek:” csoportcímke áll „x” elválasztóval, külön „Szélesség:” felirat nincs.		
PicasaPy/BackupDialog.qml	A backup set remembers where it saves and what it has 	segedszoveg	Sajat magyarazo szoveg a 'mentesi keszlet' fogalmarol (a fejlesztoi komment szerint az eredeti fogalmat koveti, de szo szerinti eredeti szoveg nem talalhato).		
PicasaPy/BackupDialog.qml	All file types	segedszoveg	Biztonsagi mentes fajltipus-szuro opcioja; az eredeti CD/DVD-ires il_BurnPanel korpuszaban nincs ilyen szuro-felirat.		
PicasaPy/BackupDialog.qml	All pictures (no movies)	segedszoveg	Biztonsagi mentes fajltipus-szuro opcioja; nincs talalhato eredeti megfelelo.		
PicasaPy/BackupDialog.qml	Browse...	segedszoveg	'Tallozas...' gomb - az eredetiben ez a natív OS fajl-/mappavalaszto dialogus gombja volt, nem Picasa-authoralt sztingforras, ezert nincs se a stringres-ben, se a .tre leltarban.		
PicasaPy/BackupDialog.qml	Choose the backup location	segedszoveg	Fajlvalaszto dialogus cime a mentesi cel kivalasztasahoz; nincs talalhato eredeti megfelelo (az eredeti CD/DVD-kozpontu volt).		
PicasaPy/BackupDialog.qml	Delete this backup set? The saved files stay 	elteres	"Ugyanaz a törlés-megerősítés; nálunk nincs benne a készlet neve, tegező, és hozzátoldott mondat van. Hivatalos: „Biztosan törli a(z) ""%s"" mentési készletet?” → nálunk: „Törlöd ezt a mentés-készletet? Az elmentett fájlok a helyükön maradnak.”"	il_NewBkDialog_delete	"Are you sure you want to delete the backup set ""%s""?"
PicasaPy/BackupDialog.qml	Everything was already backed up.	elteres	A mentés végén az eredeti egyféle záró üzenetet ismer (külön „nincs mit menteni” szöveg nincs a korpuszban). Hivatalos: „A mentés elkészült” → nálunk: „Minden el volt már mentve.”	il_BurnPanel::BackupCopy::3	Backup Complete
PicasaPy/BackupDialog.qml	Files:	segedszoveg	Generikus mezofelirat a mentesi keszlet fajljainak listajahoz; nincs talalhato eredeti megfelelo.		
PicasaPy/BackupDialog.qml	No backup sets yet.	segedszoveg	Ures allapot szoveg; nincs talalhato eredeti megfelelo.		
PicasaPy/BackupDialog.qml	Only JPEGs with camera data	segedszoveg	Biztonsagi mentes fajltipus-szuro opcioja; nincs talalhato eredeti megfelelo.		
PicasaPy/BackupDialog.qml	Save to:	segedszoveg	Generikus mezofelirat a mentesi celhoz; nincs talalhato eredeti megfelelo.		
PicasaPy/BackupDialog.qml	To CD image (ISO)	segedszoveg	Mentesi cel-tipus valaszto felirata (ISO-kepfajl CD-re); nincs talalhato eredeti megfelelo.		
PicasaPy/BackupDialog.qml	To DVD image (ISO)	segedszoveg	Mentesi cel-tipus valaszto felirata (ISO-kepfajl DVD-re); nincs talalhato eredeti megfelelo.		
PicasaPy/BackupDialog.qml	To folder	segedszoveg	Mentesi cel-tipus valaszto felirata; nincs talalhato eredeti megfelelo.		
PicasaPy/CollageDialogs.qml	Please select the single image you want to place in 	mero-vakfolt	Tördelés: összefűzött mondat töredéke; a teljes magyar betűre egyezik a hivatalossal („MIELŐTT erre a gombra kattintana, …”).	collage::framecenterwarn	Please select the single image you want to place in the center of the collage BEFORE pressing this button.
PicasaPy/CollageDialogs.qml	The collage cannot be saved because all of the pictures 	mero-vakfolt	Tördelés: összefűzött mondat töredéke; a teljes szöveg magyarja betűre egyezik a hivatalossal („A kollázs nem menthető, mert az összes képet eltávolították. …”).	collageUI::noimages	The collage cannot be saved because all of the pictures have been removed.  Add at least one picture and try again.
PicasaPy/CollageDialogs.qml	The collage could not be saved	segedszoveg	A mentés MEGHIÚSULT hibapárbeszéd — a fájl saját megjegyzése szerint (CollageDialogs.qml 73-78) ez azért született, mert a hiba az eredetiben NÉMA volt (a folyamatjelző csak eltűnt); a helyzet tehát az eredetiben nem termel szöveget.		
PicasaPy/CollageDialogs.qml	The current collage contains unsaved changes.\n\n	mero-vakfolt	"Tördelés: összefűzött szöveg töredéke; a teljes magyar betűre egyezik a hivatalossal, csak az idézőjel alakja más („Kollázsok” ↔ ""Kollázsok"")."	CCollageUI::ConfirmCloseMsg	"The current collage has unsaved changes.\n\nWould you like to save these changes before closing the tab, or discard them?  (Note: Drafts will be saved in the ""Collages"" album).\n\nPress Cancel to keep the tab open."
PicasaPy/CollageDialogs.qml	The current page format of the collage does not 	mero-vakfolt	Tördelés: összefűzött szöveg töredéke; a teljes magyar a hivatalossal egyezik, a különbség csak sortörés (a két első mondat közti \n) és idézőjel-alak.	collage::formatwarning	"The collage's current Page Format does not match your current desktop size.\nThis may result in a desktop background that does not look as expected.\n\n(TIP: Choose ""Current display"" in the Page Format dropdown menu to ensure a perfect fit.)\n\nAre you sure you want to continue?"
PicasaPy/CollageDialogs.qml	Would you like to replace the existing one, or 	elteres	Ugyanaz a párbeszéd, de nálunk az üzenettörzs csak a hivatalos CÍM szövege (CCollageUI::ConfirmTitle), a hivatalos törzsből hiányzik az első bekezdés, a Kollázsok-megjegyzés és a Mégse-magyarázat. Hivatalos: „Eddig egy korábban készült kollázst szerkesztett. Lecseréli a meglévő kollázst, vagy teljesen újat hoz létre? (Megjegyzés: …) A Mégse gombra kattintva …” → nálunk: „Lecseréli a meglévőt, vagy újat hoz létre?”.	CCollageUI::ConfirmMsg	"You have been editing a previously created collage.\n\nWould you like to replace the existing collage or create an entirely new one?  (Note: All collages are saved in the ""Collages"" album).\n\nPress Cancel to continue editing the collage without saving."
PicasaPy/CollageDoneNotice.qml	The collage is ready (click here)	mero-vakfolt	A mi magyarunk betűre egyezik a hivatalossal („A kollázs kész (kattintson ide)”); az angol csak fogalmazásban tér el.	collage::done	Collage Finished! (click to view)
PicasaPy/CollageDraftDialog.qml	Discard Draft	sajat-funkcio	A kollázs-piszkozat VISSZAÁLLÍTÁS-FELAJÁNLÓ párbeszéde (#1051): a fájl saját megjegyzése szerint az eredeti Picasa ilyenkor NEM kérdez — induláskor némán átnevezi és visszateszi az autosave.cxf-et a Kollázsok albumba (a #979 gazdagabb működés, ami nálunk még blokkolt). Ez a kérdező köztes megoldás, a kérdés maga a mi funkciónk.		
PicasaPy/CollageDraftDialog.qml	PicasaPy found an automatically saved collage draft 	sajat-funkcio	A kollázs-piszkozat VISSZAÁLLÍTÁS-FELAJÁNLÓ párbeszéde (#1051): a fájl saját megjegyzése szerint az eredeti Picasa ilyenkor NEM kérdez — induláskor némán átnevezi és visszateszi az autosave.cxf-et a Kollázsok albumba (a #979 gazdagabb működés, ami nálunk még blokkolt). Ez a kérdező köztes megoldás, a kérdés maga a mi funkciónk.		
PicasaPy/CollageDraftDialog.qml	Recovered Auto Backup	sajat-funkcio	A kollázs-piszkozat VISSZAÁLLÍTÁS-FELAJÁNLÓ párbeszéde (#1051): a fájl saját megjegyzése szerint az eredeti Picasa ilyenkor NEM kérdez — induláskor némán átnevezi és visszateszi az autosave.cxf-et a Kollázsok albumba (a #979 gazdagabb működés, ami nálunk még blokkolt). Ez a kérdező köztes megoldás, a kérdés maga a mi funkciónk.		
PicasaPy/CollageDraftDialog.qml	Restore Draft	sajat-funkcio	A kollázs-piszkozat VISSZAÁLLÍTÁS-FELAJÁNLÓ párbeszéde (#1051): a fájl saját megjegyzése szerint az eredeti Picasa ilyenkor NEM kérdez — induláskor némán átnevezi és visszateszi az autosave.cxf-et a Kollázsok albumba (a #979 gazdagabb működés, ami nálunk még blokkolt). Ez a kérdező köztes megoldás, a kérdés maga a mi funkciónk.		
PicasaPy/CollagePanel.qml	Create the collage and set it as the desktop background	segedszoveg	Kollazs-mentes mod-valaszto felirata (asztali hatterkepnek allitas); nincs talalhato eredeti szo szerinti megfelelo (bar a funkcio - IDS_CONFIRM_SET_DESKTOP/IDS_CONFIRM_DESKTOPCOLLAGE - maga eredeti).		
PicasaPy/CollagePanel.qml	Save as a JPG in the Collages album (in the Projects 	segedszoveg	Kollazs-mentes mod-valaszto felirata (JPG mentese a Kollazsok albumba); nincs talalhato eredeti szo szerinti megfelelo.		
PicasaPy/CollageSettingsTab.qml	Show captions as text on pictures with an 	segedszoveg	"A ""Feliratok mutatása"" jelölőnégyzet buboréksúgója (saját magyarázó szöveg); nincs hozzá talált hivatalos forrás."		
PicasaPy/CollageThemePopup.qml	A mosaic with a prominent center picture	mero-vakfolt	A hivatalos „Név: leírás” sztring egyik fele, a magyarunk betűre egyezik vele; csak az összefűzés tér el.	collage::frame_desc	Frame Mosaic: A mosaic with a prominent center picture
PicasaPy/CollageThemePopup.qml	Arrange pictures into regular rows and columns	mero-vakfolt	A hivatalos „Név: leírás” sztring egyik fele, a magyarunk betűre egyezik vele; csak az összefűzés tér el.	collage::grid_desc	Grid:  Arrange pictures into regular rows and columns
PicasaPy/CollageThemePopup.qml	Automatically fit pictures into the page	mero-vakfolt	A hivatalos „Név: leírás” sztring egyik fele, a magyarunk betűre egyezik vele; csak az összefűzés tér el.	collage::pack_desc	Mosaic:  Automatically fit pictures into the page
PicasaPy/CollageThemePopup.qml	Frame Mosaic	mero-vakfolt	A hivatalos „Név: leírás” sztring egyik fele, a magyarunk betűre egyezik vele; csak az összefűzés tér el.	collage::frame_desc	Frame Mosaic: A mosaic with a prominent center picture
PicasaPy/CollageThemePopup.qml	Grid	mero-vakfolt	A hivatalos „Név: leírás” sztring egyik fele, a magyarunk betűre egyezik vele; csak az összefűzés tér el.	collage::grid_desc	Grid:  Arrange pictures into regular rows and columns
PicasaPy/CollageThemePopup.qml	Looks like a pile of scattered pictures	mero-vakfolt	A hivatalos „Név: leírás” sztring egyik fele, a magyarunk betűre egyezik vele; csak az összefűzés tér el.	collage::pile_desc	Picture Pile:  Looks like a pile of scattered pictures
PicasaPy/CollageThemePopup.qml	Mosaic	mero-vakfolt	A hivatalos „Név: leírás” sztring egyik fele, a magyarunk betűre egyezik vele; csak az összefűzés tér el.	collage::pack_desc	Mosaic:  Automatically fit pictures into the page
PicasaPy/CollageThemePopup.qml	Multiple Exposure	mero-vakfolt	A hivatalos „Név: leírás” sztring egyik fele, a magyarunk betűre egyezik vele; csak az összefűzés tér el.	collage::multiexp_desc	Multiple Exposure:  Superimpose pictures over one another
PicasaPy/CollageThemePopup.qml	Superimpose pictures over one another	mero-vakfolt	A hivatalos „Név: leírás” sztring egyik fele, a magyarunk betűre egyezik vele; csak az összefűzés tér el.	collage::multiexp_desc	Multiple Exposure:  Superimpose pictures over one another
PicasaPy/CollageThemePopup.qml	Thumbnails with an informative header	mero-vakfolt	A hivatalos „Név: leírás” sztring egyik fele, a magyarunk betűre egyezik vele; csak az összefűzés tér el.	collage::csheet_desc	Contact Sheet:  Thumbnails with an informative header
PicasaPy/CompactDatabaseDialog.qml	Compacting cancelled. Your database is unchanged.	segedszoveg	A tömörítés megszakítva állapotüzenet; a panel-feliratok-hu.tsv compacting-panelje nem tartalmaz ilyen tételt, ez a helyzet az eredetiben nem termel ismert szöveget.		
PicasaPy/CompactDatabaseDialog.qml	PicasaPy is compacting its database to save disk 	elteres	CSAK-FORDÍTÁS: az angol forrás tartalmilag azonos (csak tördelés/záró kérdés különbözik), de a magyar fordításunk eltér. A Picasa→PicasaPy névcsere mellett a mondat is máshogy van fordítva. Hivatalos magyar: „A Picasa tömöríti az adatbázisát, hogy takarékoskodjon a lemezterülettel. Ez percekig is tarthat.” — nálunk: „A PicasaPy tömöríti az adatbázisát, hogy lemezhelyet szabadítson fel. Ez több percig is eltarthat.”.	compacting/label5.title	Picasa is compacting its database to save disk space. This may take several minutes.
PicasaPy/CompactDatabaseDialog.qml	The database is already compact — nothing to do.	segedszoveg	A adatbázis már tömör – nincs teendő állapotüzenet; a panel-feliratok-hu.tsv compacting-panelje nem tartalmaz ilyen tételt, tehát ez a helyzet (már tömör az adatbázis) az eredetiben nem termel ismert szöveget.		
PicasaPy/ConfigureButtonsDialog.qml	Available buttons:	mero-vakfolt	A mi magyarunk betűre egyezik a hivatalossal („Rendelkezésre álló gombok:”, gombkezelő bal lista).	buttonmgr/leftlist_text	
PicasaPy/ConfigureButtonsDialog.qml	Current buttons:	mero-vakfolt	A mi magyarunk betűre egyezik a hivatalossal („Jelenlegi gombok:”, gombkezelő jobb lista).	buttonmgr/rightlist_text	
PicasaPy/CreateDialogs.qml	(not selected)	segedszoveg	Lásd a 'Target file:' sor indoklását — ugyanahhoz a saját fájlválasztó-mezőhöz tartozó helyőrző szöveg.		
PicasaPy/CreateDialogs.qml	Browse...	segedszoveg	Az eredeti a kollázst a Kollázsok albumba menti, célfájl-tallózás nincs; a funkció megvan, ez a gomb nem.		
PicasaPy/CreateDialogs.qml	Collage type:	segedszoveg	A kollázs funkció megvan, de az eredetiben a típus a kollázspanel téma-választóján dől el, felirat nélkül; „Kollázs típusa:” címke nincs.		
PicasaPy/CreateDialogs.qml	Frame Mosaic	elteres	Ugyanaz a téma (framegrid) a típusválasztóban. Hivatalos: „Képkockamozaik” (collage::frame_desc névrésze) → nálunk: „Keretes mozaik”.	collage::frame_desc	Frame Mosaic: A mosaic with a prominent center picture
PicasaPy/CreateDialogs.qml	Grid	mero-vakfolt	A téma-választó szövegének névrésze („Rács: a képek szabályos sorokba…”) a mi magyarunkkal („Rács”) egyezik.	collage::grid_desc	Grid:  Arrange pictures into regular rows and columns
PicasaPy/CreateDialogs.qml	JPEG images (*.jpg)	segedszoveg	Qt FileDialog fájlszűrő-string; az eredeti natív mentési párbeszéd szűrőformátuma szerkezetileg más (pl. CThumbUI::SaveAsFilterJPG = 'JPEG Files', a minta külön mezőben), nincs egyező egysoros forrás.		
PicasaPy/CreateDialogs.qml	MP4 videos (*.mp4)	segedszoveg	Lásd a 'JPEG images (*.jpg)' sor indoklását — ugyanaz a saját fájlszűrő-mintázat, most a film-exportra.		
PicasaPy/CreateDialogs.qml	Mosaic	mero-vakfolt	A téma-választó kétsoros szövegének névrésze („Mozaik: a képek automatikus illesztése…”) a mi magyarunkkal („Mozaik”) egyezik.	collage::pack_desc	Mosaic:  Automatically fit pictures into the page
PicasaPy/CreateDialogs.qml	Multiple Exposure	mero-vakfolt	A mi magyarunk betűre egyezik a hivatalossal („Többszörös exponálás”).	CollageType::eMultiExposure	Multi-Exposure
PicasaPy/CreateDialogs.qml	Seconds per picture:	segedszoveg	Lásd a 'Video size:' sor indoklását; az eredeti 'durationslider_label' = 'Dia időtartama' egy csúszka felirata, nem 'Seconds per picture:' szövegű mező.		
PicasaPy/CreateDialogs.qml	Select pictures in the library first, or put them in the Picture Tray.	segedszoveg	Üres-állapot súgószöveg a kollázskészítő dialógusban, ha nincs kiválasztott kép; nincs rá eredeti megfelelő a forrásokban.		
PicasaPy/CreateDialogs.qml	Target file:	segedszoveg	A kollázs célfájljának felirata egy saját, fájl-mentés-dialógus alapú létrehozási folyamathoz tartozik; az eredeti collagepanel (panel-feliratok-hu.tsv) nem ismer ilyen 'Target file:' feliratot — ott a kollázs mentése a 'Kollázs létrehozása' gombbal történik, külön célfájl-mező nélkül.		
PicasaPy/CreateDialogs.qml	The collage could not be created.	segedszoveg	Saját hibaüzenet a kollázslétrehozás sikertelenségére; nincs megfelelője a forrásokban.		
PicasaPy/CreateDialogs.qml	The movie could not be created.	segedszoveg	Saját hibaüzenet a filmlétrehozás sikertelenségére; nincs megfelelője a forrásokban.		
PicasaPy/CreateDialogs.qml	The movie's pictures and timing come from the 	segedszoveg	A kód-komment (#2114) kimondottan saját kiegészítésnek nevezi: 'a projektfájl a diaidőt és a képeket őrzi meg, a felbontást nem — ezt kimondjuk, nem találgatunk.'		
PicasaPy/CreateDialogs.qml	Video size:	segedszoveg	A film méretbeállítás felirata egy saját, egyszerűsített filmkészítő-dialógushoz tartozik; az eredeti makemoviepanel (panel-feliratok-hu.tsv) csúszkás vezérlőt használ ('moviesize_label' = 'Méretek', nem 'Video size:' feliratú mezőt).		
PicasaPy/DedupDialog.qml	Analysing pictures...	sajat-funkcio	A Duplikátum-kereső párbeszéd (#287) az eredeti Picasa 3.9-ben nem létezik önálló ablakként: a docs/decisions/vedett-sajat-funkciok.md kifejezetten saját funkcióNAK sorolja fel — az eredetiben a másodpéldány-kezelés két MÁS mechanizmus (importáláskori AcquireDupeCheckThread és a keresősáv dupesearch módja), önálló kereső-dialógus nincs.		
PicasaPy/DedupDialog.qml	Comparing files...	sajat-funkcio	A Duplikátum-kereső párbeszéd (#287) az eredeti Picasa 3.9-ben nem létezik önálló ablakként: a docs/decisions/vedett-sajat-funkciok.md kifejezetten saját funkcióNAK sorolja fel — az eredetiben a másodpéldány-kezelés két MÁS mechanizmus (importáláskori AcquireDupeCheckThread és a keresősáv dupesearch módja), önálló kereső-dialógus nincs.		
PicasaPy/DedupDialog.qml	Delete others to Trash	sajat-funkcio	A Duplikátum-kereső párbeszéd (#287) az eredeti Picasa 3.9-ben nem létezik önálló ablakként: a docs/decisions/vedett-sajat-funkciok.md kifejezetten saját funkcióNAK sorolja fel — az eredetiben a másodpéldány-kezelés két MÁS mechanizmus (importáláskori AcquireDupeCheckThread és a keresősáv dupesearch módja), önálló kereső-dialógus nincs.		
PicasaPy/DedupDialog.qml	Find Duplicates	sajat-funkcio	A Duplikátum-kereső párbeszéd (#287) az eredeti Picasa 3.9-ben nem létezik önálló ablakként: a docs/decisions/vedett-sajat-funkciok.md kifejezetten saját funkcióNAK sorolja fel — az eredetiben a másodpéldány-kezelés két MÁS mechanizmus (importáláskori AcquireDupeCheckThread és a keresősáv dupesearch módja), önálló kereső-dialógus nincs.		
PicasaPy/DedupDialog.qml	Groups of duplicate and similar pictures. Pick which one to 	sajat-funkcio	A Duplikátum-kereső párbeszéd (#287) az eredeti Picasa 3.9-ben nem létezik önálló ablakként: a docs/decisions/vedett-sajat-funkciok.md kifejezetten saját funkcióNAK sorolja fel — az eredetiben a másodpéldány-kezelés két MÁS mechanizmus (importáláskori AcquireDupeCheckThread és a keresősáv dupesearch módja), önálló kereső-dialógus nincs.		
PicasaPy/DedupDialog.qml	"Move others to \""Duplikátumok\"""	sajat-funkcio	A Duplikátum-kereső párbeszéd (#287) az eredeti Picasa 3.9-ben nem létezik önálló ablakként: a docs/decisions/vedett-sajat-funkciok.md kifejezetten saját funkcióNAK sorolja fel — az eredetiben a másodpéldány-kezelés két MÁS mechanizmus (importáláskori AcquireDupeCheckThread és a keresősáv dupesearch módja), önálló kereső-dialógus nincs.		
PicasaPy/DedupDialog.qml	No duplicates found.	sajat-funkcio	A Duplikátum-kereső párbeszéd (#287) az eredeti Picasa 3.9-ben nem létezik önálló ablakként: a docs/decisions/vedett-sajat-funkciok.md kifejezetten saját funkcióNAK sorolja fel — az eredetiben a másodpéldány-kezelés két MÁS mechanizmus (importáláskori AcquireDupeCheckThread és a keresősáv dupesearch módja), önálló kereső-dialógus nincs.		
